UNIXTime,Data,Time,Radiation1,Radiation2,Radiation3,Y,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
1475229326,9/29/2016 12:00:00 AM,0,996828703703704,1.21,1.21,1.23,1.21,48,30.46,59,177.39,5.62,0,259027777777778,0,759027777777778
1475229023,9/29/2016 12:00:00 AM,0,993321759259259,1.21,1.23,1.21,1.17,48,30.46,58,176.78,3.37,0,259027777777778,0,759027777777778
1475228726,9/29/2016 12:00:00 AM,0,989884259259259,1.23,1.21,1.17,1.21,48,30.46,57,158.75,3.37,0,259027777777778,0,759027777777778
1475228421,9/29/2016 12:00:00 AM,0,986354166666667,1.21,1.17,1.21,1.2,48,30.46,60,137.71,3.37,0,259027777777778,0,759027777777778
1475228124,9/29/2016 12:00:00 AM,0,982916666666667,1.17,1.21,1.2,1.24,48,30.46,62,104.95,5.62,0,259027777777778,0,759027777777778
1475227824,9/29/2016 12:00:00 AM,0,979444444444444,1.21,1.2,1.24,1.23,48,30.46,64,120.2,5.62,0,259027777777778,0,759027777777778
1475227519,9/29/2016 12:00:00 AM,0,975914351851852,1.2,1.24,1.23,1.21,49,30.46,72,112.45,6.75,0,259027777777778,0,759027777777778
1475227222,9/29/2016 12:00:00 AM,0,972476851851852,1.24,1.23,1.21,1.23,49,30.46,71,122.97,5.62,0,259027777777778,0,759027777777778
1475226922,9/29/2016 12:00:00 AM,0,96900462962963,1.23,1.21,1.23,1.21,49,30.46,80,101.18,4.5,0,259027777777778,0,759027777777778
1475226622,9/29/2016 12:00:00 AM,0,965532407407407,1.21,1.23,1.21,1.22,49,30.46,85,141.87,4.5,0,259027777777778,0,759027777777778
1475226323,9/29/2016 12:00:00 AM,0,962071759259259,1.23,1.21,1.22,1.21,49,30.47,93,120.55,2.25,0,259027777777778,0,759027777777778
1475226025,9/29/2016 12:00:00 AM,0,958622685185185,1.21,1.22,1.21,1.23,49,30.47,98,144.19,3.37,0,259027777777778,0,759027777777778
1475225720,9/29/2016 12:00:00 AM,0,955092592592592,1.22,1.21,1.23,1.22,49,30.47,99,139.8,6.75,0,259027777777778,0,759027777777778
1475225419,9/29/2016 12:00:00 AM,0,951608796296296,1.21,1.23,1.22,1.21,50,30.47,99,140.92,2.25,0,259027777777778,0,759027777777778
